username,password,firstname,lastname,email,idnumber,cohort1,city,country
68m10101,Pass1234,สมชาย,ใจดี,68m10101@school.ac.th,680101,STD-M1-1,กรุงเทพมหานคร,TH
68m10102,Pass1234,สมหญิง,รักเรียน,68m10102@school.ac.th,680102,STD-M1-1,กรุงเทพมหานคร,TH
68m10103,Pass1234,วิทยา,ขยัน,68m10103@school.ac.th,680103,STD-M1-1,กรุงเทพมหานคร,TH
68m10104,Pass1234,สุดา,เก่ง,68m10104@school.ac.th,680104,STD-M1-1,กรุงเทพมหานคร,TH
68m10105,Pass1234,ประเสริฐ,ดีมาก,68m10105@school.ac.th,680105,STD-M1-1,กรุงเทพมหานคร,TH
68m10106,Pass1234,มาลี,สวยงาม,68m10106@school.ac.th,680106,STD-M1-1,กรุงเทพมหานคร,TH
68m10107,Pass1234,สมศักดิ์,ภูมิใจ,68m10107@school.ac.th,680107,STD-M1-1,กรุงเทพมหานคร,TH
68m10108,Pass1234,ชนิดา,น่ารัก,68m10108@school.ac.th,680108,STD-M1-1,กรุงเทพมหานคร,TH
68m10109,Pass1234,พิชัย,มั่นใจ,68m10109@school.ac.th,680109,STD-M1-1,กรุงเทพมหานคร,TH
68m10110,Pass1234,อรุณี,แจ่มใส,68m10110@school.ac.th,680110,STD-M1-1,กรุงเทพมหานคร,TH
